codprov,coddepto,codprov_censo,coddepto_censo,nomdepto_censo
1,1,2,1,COMUNA 01
1,2,2,2,COMUNA 02
1,3,2,3,COMUNA 03
1,4,2,4,COMUNA 04
1,5,2,5,COMUNA 05
1,6,2,6,COMUNA 06
1,7,2,7,COMUNA 07
1,8,2,8,COMUNA 08
1,9,2,9,COMUNA 09
1,10,2,10,COMUNA 10
1,11,2,11,COMUNA 11
1,12,2,12,COMUNA 12
1,13,2,13,COMUNA 13
1,14,2,14,COMUNA 14
1,15,2,15,COMUNA 15
2,1,6,7,ADOLFO ALSINA
2,2,6,21,ALBERTI
2,3,6,28,ALMIRANTE BROWN
2,4,6,35,AVELLANEDA
2,5,6,42,AYACUCHO
2,6,6,49,AZUL
2,7,6,56,BAHIA BLANCA
2,8,6,63,BALCARCE
2,9,6,70,BARADERO
2,10,6,77,BARTOLOME MITRE
2,11,6,91,BERAZATEGUI
2,12,6,98,BERISSO
2,13,6,105,BOLIVAR
2,14,6,112,BRAGADO
2,15,6,119,BRANDSEN
2,16,6,126,CAMPANA
2,17,6,134,CAÑUELAS
2,18,6,140,CAPITAN SARMIENTO
2,19,6,147,CARLOS CASARES
2,20,6,154,CARLOS TEJEDOR
2,21,6,161,CARMEN DE ARECO
2,22,6,602,PATAGONES
2,23,6,168,CASTELLI
2,24,6,175,COLON
2,25,6,189,CORONEL DORREGO
2,26,6,196,CORONEL PRINGLES
2,27,6,182,CORONEL DE MARINA L. ROSALES
2,28,6,203,CORONEL SUAREZ
2,29,6,210,CHACABUCO
2,30,6,217,CHASCOMUS
2,31,6,224,CHIVILCOY
2,32,6,231,DAIREAUX
2,33,6,238,DOLORES
2,34,6,245,ENSENADA
2,35,6,252,ESCOBAR
2,36,6,260,ESTEBAN ECHEVERRIA
2,37,6,266,EXALTACION DE LA CRUZ
2,38,6,274,FLORENCIO VARELA
2,39,6,280,GENERAL ALVARADO
2,40,6,287,GENERAL ALVEAR
2,41,6,294,GENERAL ARENALES
2,42,6,301,GENERAL BELGRANO
2,43,6,308,GENERAL GUIDO
2,44,6,322,GENERAL LA MADRID
2,45,6,329,GENERAL LAS HERAS
2,46,6,336,GENERAL LAVALLE
2,47,6,315,GENERAL JUAN MADARIAGA
2,48,6,343,GENERAL PAZ
2,49,6,351,GENERAL PINTO
2,50,6,357,GENERAL PUEYRREDON
2,51,6,364,GENERAL RODRIGUEZ
2,52,6,371,GENERAL SAN MARTIN
2,53,6,760,SAN MIGUEL
2,54,6,385,GENERAL VIAMONTE
2,55,6,392,GENERAL VILLEGAS
2,56,6,14,ADOLFO GONZALES CHAVES
2,57,6,399,GUAMINI
2,58,6,406,HIPOLITO YRIGOYEN
2,59,6,84,BENITO JUAREZ
2,60,6,413,JUNIN
2,61,6,427,LA MATANZA
2,62,6,434,LANUS
2,63,6,441,LA PLATA
2,64,6,448,LAPRIDA
2,65,6,455,LAS FLORES
2,66,6,462,LEANDRO N. ALEM
2,67,6,469,LINCOLN
2,68,6,476,LOBERIA
2,69,6,483,LOBOS
2,70,6,490,LOMAS DE ZAMORA
2,71,6,497,LUJAN
2,72,6,505,MAGDALENA
2,73,6,511,MAIPU
2,74,6,518,MAR CHIQUITA
2,75,6,525,MARCOS PAZ
2,76,6,532,MERCEDES
2,77,6,539,MERLO
2,78,6,547,MONTE
2,79,6,560,MORENO
2,80,6,568,MORON
2,81,6,574,NAVARRO
2,82,6,581,NECOCHEA
2,83,6,588,9 DE JULIO
2,84,6,595,OLAVARRIA
2,85,6,609,PEHUAJO
2,86,6,616,PELLEGRINI
2,87,6,623,PERGAMINO
2,88,6,630,PILA
2,89,6,638,PILAR
2,90,6,644,PINAMAR
2,91,6,651,PUAN
2,92,6,658,QUILMES
2,93,6,665,RAMALLO
2,94,6,672,RAUCH
2,95,6,679,RIVADAVIA
