mes_proCodigoProvincia,mes_depCodigoDepartamento,mes_munCodigoMunicipio
01,001,001
01,002,002
01,003,003
01,004,004
01,005,005
01,006,006
01,007,007
01,008,008
01,009,009
01,010,010
01,011,011
01,012,012
01,013,013
01,014,014
01,015,015
02,001,001
02,002,002
02,003,003
02,004,004
02,005,005
02,006,006
02,007,007
02,008,008
02,009,009
02,010,010
02,011,011
02,012,012
02,013,013
02,014,014
02,015,015
02,016,016
02,017,017
02,018,018
02,019,019
02,020,020
02,021,021
02,022,022
02,023,023
02,024,024
02,025,025
02,026,026
02,027,027
02,028,028
02,029,029
02,030,030
02,031,031
02,032,032
02,033,033
02,034,034
02,035,035
02,036,036
02,037,037
02,038,038
02,039,039
02,040,040
02,041,041
02,042,042
02,043,043
02,044,044
02,045,045
02,046,046
02,047,047
02,048,048
02,049,049
02,050,050
02,051,051
02,052,052
02,053,053
02,054,054
02,055,055
02,056,056
02,057,057
02,058,058
02,059,059
02,060,060
02,061,061
02,062,062
02,063,063
02,064,064
02,065,065
02,066,066
02,067,067
02,068,068
02,069,069
02,070,070
02,071,071
02,072,072
02,073,073
02,074,074
02,075,075
02,076,076
02,077,077
02,078,078
02,079,079
02,080,080
02,081,081
02,082,082
02,083,083
02,084,084
02,085,085
02,086,086
02,087,087
02,088,088
02,089,089
02,090,090
02,091,091
02,092,092
02,093,093
02,094,094
02,095,095
02,096,096
02,097,097
02,098,098
02,099,099
02,100,100
02,101,101
02,102,102
02,103,103
02,104,104
02,105,105
02,106,106
02,107,107
02,108,108
02,109,109
02,110,110
02,111,111
02,112,112
02,113,113
02,114,114
02,115,115
02,116,116
02,117,117
02,118,118
02,119,119
02,120,120
02,121,121
02,122,122
02,123,123
02,124,124
02,125,125
02,126,126
02,127,127
02,128,128
02,129,129
02,130,130
02,131,131
02,132,132
02,133,133
02,134,134
02,135,135
03,001,035
03,002,006
03,002,012
03,003,013
03,003,023
03,004,002
03,005,008
03,005,031
03,006,029
03,006,037
03,007,018
03,008,033
03,009,010
03,010,014
03,010,015
03,010,017
03,010,024
03,011,019
03,011,030
03,011,036
03,012,001
03,012,003
03,013,005
03,013,007
03,013,011
03,013,016
03,013,020
03,013,021
03,013,022
03,013,025
03,013,034
03,014,004
03,015,009
03,015,032
03,016,027
03,016,028
04,001,112
04,002,016
04,002,050
04,002,061
04,002,148
04,002,198
04,002,200
04,002,229
04,002,261
04,002,267
04,002,269
04,002,278
04,002,355
04,002,373
04,002,387
04,002,410
04,002,419
04,002,449
04,002,457
04,002,464
04,002,472
04,002,484
04,002,486
04,002,509
04,002,513
04,003,003
04,003,096
04,003,105
04,003,107
04,003,142
04,003,151
04,003,152
04,003,183
04,003,190
04,003,204
04,003,283
04,003,294
04,003,295
04,003,353
04,003,369
04,003,371
04,003,433
04,003,443
04,003,448
04,003,455
04,004,014
04,004,035
04,004,122
04,004,123
04,004,135
04,004,165
04,004,189
04,004,205
04,004,231
04,004,243
04,004,258
04,004,292
04,004,328
04,004,394
04,004,421
04,004,441
04,004,463
04,004,666
04,005,043
04,005,127
04,005,173
04,005,180
04,005,185
04,005,289
04,005,309
04,005,317
04,005,333
04,005,349
04,005,475
04,005,491
04,005,494
04,005,666
04,006,022
04,006,023
04,006,028
04,006,155
04,006,207
04,006,209
04,006,215
04,006,275
04,006,326
04,006,422
04,006,432
04,006,434
04,006,480
04,006,481
04,006,502
04,006,666
04,007,029
04,007,060
04,007,083
04,007,111
04,007,126
04,007,268
04,007,316
04,007,347
04,007,474
04,007,666
04,008,007
04,008,025
04,008,037
04,008,069
04,008,080
04,008,143
04,008,160
04,008,161
04,008,171
04,008,193
04,008,259
04,008,314
04,008,320
04,008,327
04,008,351
04,008,406
04,008,442
04,009,008
04,009,020
04,009,051
04,009,067
04,009,072
04,009,093
04,009,097
04,009,115
04,009,121
04,009,159
04,009,164
04,009,167
04,009,176
04,009,179
04,009,253
04,009,271
04,009,286
04,009,300
04,009,367
04,009,368
04,009,470
04,010,087
04,010,136
04,010,153
04,010,166
04,010,214
04,010,380
04,010,429
04,010,437
04,010,666
04,011,077
04,011,239
04,011,272
04,011,370
04,011,386
04,011,427
04,011,462
04,012,040
04,012,046
04,012,065
04,012,071
04,012,079
04,012,119
04,012,124
04,012,154
04,012,172
04,012,199
04,012,201
04,012,260
04,012,290
04,012,376
04,012,382
04,012,399
04,012,408
04,012,428
04,012,431
04,012,445
04,012,454
04,012,473
04,012,483
04,012,490
04,012,497
04,013,001
04,013,002
04,013,005
04,013,039
04,013,045
04,013,074
04,013,082
04,013,113
04,013,114
04,013,147
04,013,194
04,013,195
04,013,227
04,013,228
04,013,235
04,013,241
04,013,249
04,013,262
04,013,282
04,013,302
04,013,354
04,013,372
04,013,379
04,013,425
04,013,438
04,013,447
04,013,469
04,013,495
04,013,501
04,013,512
04,013,666
04,014,026
04,014,059
04,014,063
04,014,075
04,014,130
