codprov,coddepto,codmuni,nomprov,nommuni,nomdepto
1,1,1,CIUDAD AUTONOMA DE BS.AS.,,COMUNA 1
1,2,2,CIUDAD AUTONOMA DE BS.AS.,,COMUNA 2
1,3,3,CIUDAD AUTONOMA DE BS.AS.,,COMUNA 3
1,4,4,CIUDAD AUTONOMA DE BS.AS.,,COMUNA 4
1,5,5,CIUDAD AUTONOMA DE BS.AS.,,COMUNA 5
1,6,6,CIUDAD AUTONOMA DE BS.AS.,,COMUNA 6
1,7,7,CIUDAD AUTONOMA DE BS.AS.,,COMUNA 7
1,8,8,CIUDAD AUTONOMA DE BS.AS.,,COMUNA 8
1,9,9,CIUDAD AUTONOMA DE BS.AS.,,COMUNA 9
1,10,10,CIUDAD AUTONOMA DE BS.AS.,,COMUNA 10
1,11,11,CIUDAD AUTONOMA DE BS.AS.,,COMUNA 11
1,12,12,CIUDAD AUTONOMA DE BS.AS.,,COMUNA 12
1,13,13,CIUDAD AUTONOMA DE BS.AS.,,COMUNA 13
1,14,14,CIUDAD AUTONOMA DE BS.AS.,,COMUNA 14
1,15,15,CIUDAD AUTONOMA DE BS.AS.,,COMUNA 15
2,1,1,BUENOS AIRES,ADOLFO ALSINA,ADOLFO ALSINA
2,2,2,BUENOS AIRES,ALBERTI,ALBERTI
2,3,3,BUENOS AIRES,ALMIRANTE BROWN,ALMIRANTE BROWN
2,4,4,BUENOS AIRES,AVELLANEDA,AVELLANEDA
2,5,5,BUENOS AIRES,AYACUCHO,AYACUCHO
2,6,6,BUENOS AIRES,AZUL,AZUL
2,7,7,BUENOS AIRES,BAHIA BLANCA,BAHIA BLANCA
2,8,8,BUENOS AIRES,BALCARCE,BALCARCE
2,9,9,BUENOS AIRES,BARADERO,BARADERO
2,10,10,BUENOS AIRES,ARRECIFES,ARRECIFES
2,11,11,BUENOS AIRES,BERAZATEGUI,BERAZATEGUI
2,12,12,BUENOS AIRES,BERISSO,BERISSO
2,13,13,BUENOS AIRES,BOLIVAR,BOLIVAR
2,14,14,BUENOS AIRES,BRAGADO,BRAGADO
2,15,15,BUENOS AIRES,BRANDSEN,BRANDSEN
2,16,16,BUENOS AIRES,CAMPANA,CAMPANA
2,17,17,BUENOS AIRES,CAñUELAS,CAñUELAS
2,18,18,BUENOS AIRES,CAPITAN SARMIENTO,CAPITAN SARMIENTO
2,19,19,BUENOS AIRES,CARLOS CASARES,CARLOS CASARES
2,20,20,BUENOS AIRES,CARLOS TEJEDOR,CARLOS TEJEDOR
2,21,21,BUENOS AIRES,CARMEN DE ARECO,CARMEN DE ARECO
2,22,22,BUENOS AIRES,PATAGONES,PATAGONES
2,23,23,BUENOS AIRES,CASTELLI,CASTELLI
2,24,24,BUENOS AIRES,COLON,COLON
2,25,25,BUENOS AIRES,CORONEL DORREGO,CORONEL DORREGO
2,26,26,BUENOS AIRES,CORONEL PRINGLES,CORONEL PRINGLES
2,27,27,BUENOS AIRES,CORONEL ROSALES,CORONEL ROSALES
2,28,28,BUENOS AIRES,CORONEL SUAREZ,CORONEL SUAREZ
2,29,29,BUENOS AIRES,CHACABUCO,CHACABUCO
2,30,30,BUENOS AIRES,CHASCOMUS,CHASCOMUS
2,31,31,BUENOS AIRES,CHIVILCOY,CHIVILCOY
2,32,32,BUENOS AIRES,DAIREAUX,DAIREAUX
2,33,33,BUENOS AIRES,DOLORES,DOLORES
2,34,34,BUENOS AIRES,ENSENADA,ENSENADA
2,35,35,BUENOS AIRES,ESCOBAR,ESCOBAR
2,36,36,BUENOS AIRES,ESTEBAN ECHEVERRIA,ESTEBAN ECHEVERRIA
2,37,37,BUENOS AIRES,EXALTACION DE LA CRUZ,EXALTACION DE LA CRUZ
2,38,38,BUENOS AIRES,FLORENCIO VARELA,FLORENCIO VARELA
2,39,39,BUENOS AIRES,GENERAL ALVARADO,GENERAL ALVARADO
2,40,40,BUENOS AIRES,GENERAL ALVEAR,GENERAL ALVEAR
2,41,41,BUENOS AIRES,GENERAL ARENALES,GENERAL ARENALES
2,42,42,BUENOS AIRES,GENERAL BELGRANO,GENERAL BELGRANO
2,43,43,BUENOS AIRES,GENERAL GUIDO,GENERAL GUIDO
2,44,44,BUENOS AIRES,GENERAL LA MADRID,GENERAL LAMADRID
2,45,45,BUENOS AIRES,GENERAL LAS HERAS,LAS HERAS
2,46,46,BUENOS AIRES,GENERAL LAVALLE,GENERAL LAVALLE
2,47,47,BUENOS AIRES,GENERAL MADARIAGA,GENERAL MADARIAGA
2,48,48,BUENOS AIRES,GENERAL PAZ,GENERAL PAZ
2,49,49,BUENOS AIRES,GENERAL PINTO,GENERAL PINTO
2,50,50,BUENOS AIRES,GENERAL PUEYRREDON,GENERAL PUEYRREDON
2,51,51,BUENOS AIRES,GENERAL RODRIGUEZ,GENERAL RODRIGUEZ
2,52,52,BUENOS AIRES,GENERAL SAN MARTIN,GENERAL SAN MARTIN
2,53,53,BUENOS AIRES,SAN MIGUEL,SAN MIGUEL
2,54,54,BUENOS AIRES,GENERAL VIAMONTE,GENERAL VIAMONTE
2,55,55,BUENOS AIRES,GENERAL VILLEGAS,GENERAL VILLEGAS
2,56,56,BUENOS AIRES,ADOLFO GONZALES CHAVES,GONZALES CHAVES
2,57,57,BUENOS AIRES,GUAMINI,GUAMINI
2,58,58,BUENOS AIRES,HIPOLITO YRIGOYEN,HIPOLITO YRIGOYEN
2,59,59,BUENOS AIRES,BENITO JUAREZ,JUAREZ
2,60,60,BUENOS AIRES,JUNIN,JUNIN
2,61,61,BUENOS AIRES,LA MATANZA,MATANZA
2,62,62,BUENOS AIRES,LANUS,LANUS
2,63,63,BUENOS AIRES,LA PLATA,LA PLATA
2,64,64,BUENOS AIRES,LAPRIDA,LAPRIDA
2,65,65,BUENOS AIRES,LAS FLORES,LAS FLORES
2,66,66,BUENOS AIRES,LEANDRO N. ALEM,LEANDRO N. ALEM
2,67,67,BUENOS AIRES,LINCOLN,LINCOLN
2,68,68,BUENOS AIRES,LOBERIA,LOBERIA
2,69,69,BUENOS AIRES,LOBOS,LOBOS
2,70,70,BUENOS AIRES,LOMAS DE ZAMORA,LOMAS DE ZAMORA
2,71,71,BUENOS AIRES,LUJAN,LUJAN
2,72,72,BUENOS AIRES,MAGDALENA,MAGDALENA
2,73,73,BUENOS AIRES,MAIPU,MAIPU
2,74,74,BUENOS AIRES,MAR CHIQUITA,MAR CHIQUITA
2,75,75,BUENOS AIRES,MARCOS PAZ,MARCOS PAZ
2,76,76,BUENOS AIRES,MERCEDES,MERCEDES
2,77,77,BUENOS AIRES,MERLO,MERLO
2,78,78,BUENOS AIRES,MONTE,MONTE
2,79,79,BUENOS AIRES,MORENO,MORENO
2,80,80,BUENOS AIRES,MORON,MORON
2,81,81,BUENOS AIRES,NAVARRO,NAVARRO
2,82,82,BUENOS AIRES,NECOCHEA,NECOCHEA
2,83,83,BUENOS AIRES,9 DE JULIO,NUEVE DE JULIO
2,84,84,BUENOS AIRES,OLAVARRIA,OLAVARRIA
2,85,85,BUENOS AIRES,PEHUAJO,PEHUAJO
2,86,86,BUENOS AIRES,PELLEGRINI,PELLEGRINI
2,87,87,BUENOS AIRES,PERGAMINO,PERGAMINO
2,88,88,BUENOS AIRES,PILA,PILA
2,89,89,BUENOS AIRES,PILAR,PILAR
2,90,90,BUENOS AIRES,PINAMAR,PINAMAR
2,91,91,BUENOS AIRES,PUAN,PUAN
2,92,92,BUENOS AIRES,QUILMES,QUILMES
2,93,93,BUENOS AIRES,RAMALLO,RAMALLO
2,94,94,BUENOS AIRES,RAUCH,RAUCH
2,95,95,BUENOS AIRES,RIVADAVIA,RIVADAVIA
2,96,96,BUENOS AIRES,ROJAS,ROJAS
2,97,97,BUENOS AIRES,ROQUE PEREZ,ROQUE PEREZ
2,98,98,BUENOS AIRES,SAAVEDRA,SAAVEDRA
2,99,99,BUENOS AIRES,SALADILLO,SALADILLO
2,100,100,BUENOS AIRES,SALLIQUELO,SALLIQUELO
2,101,101,BUENOS AIRES,SALTO,SALTO
2,102,102,BUENOS AIRES,SAN ANDRES DE GILES,SAN ANDRES DE GILES
2,103,103,BUENOS AIRES,SAN ANTONIO DE ARECO,SAN ANTONIO DE ARECO
2,104,104,BUENOS AIRES,SAN CAYETANO,SAN CAYETANO
2,105,105,BUENOS AIRES,SAN FERNANDO,SAN FERNANDO
2,106,106,BUENOS AIRES,SAN ISIDRO,SAN ISIDRO
2,107,107,BUENOS AIRES,SAN NICOLAS,SAN NICOLAS
2,108,108,BUENOS AIRES,SAN PEDRO,SAN PEDRO
2,109,109,BUENOS AIRES,SAN VICENTE,SAN VICENTE
2,110,110,BUENOS AIRES,SUIPACHA,SUIPACHA
2,111,111,BUENOS AIRES,TANDIL,TANDIL
2,112,112,BUENOS AIRES,TAPALQUE,TAPALQUE
2,113,113,BUENOS AIRES,TIGRE,TIGRE
2,114,114,BUENOS AIRES,TORNQUIST,TORNQUIST
2,115,115,BUENOS AIRES,TRENQUE LAUQUEN,TRENQUE LAUQUEN
2,116,116,BUENOS AIRES,TORDILLO,TORDILLO
2,117,117,BUENOS AIRES,TRES ARROYOS,TRES ARROYOS
2,118,118,BUENOS AIRES,TRES DE FEBRERO,TRES DE FEBRERO
2,119,119,BUENOS AIRES,LA COSTA,LA COSTA
2,120,120,BUENOS AIRES,MONTE HERMOSO,MONTE HERMOSO
2,121,121,BUENOS AIRES,25 DE MAYO,VEINTICINCO DE MAYO
2,122,122,BUENOS AIRES,VICENTE LOPEZ,VICENTE LOPEZ
2,123,123,BUENOS AIRES,VILLA GESELL,VILLA GESELL
2,124,124,BUENOS AIRES,VILLARINO,VILLARINO
2,125,125,BUENOS AIRES,ZARATE,ZARATE
2,126,126,BUENOS AIRES,TRES LOMAS,TRES LOMAS
2,127,127,BUENOS AIRES,FLORENTINO AMEGHINO,F. AMEGHINO
2,128,128,BUENOS AIRES,PRESIDENTE PERON,PRESIDENTE PERON
2,129,129,BUENOS AIRES,JOSE C. PAZ,J. C. PAZ
2,130,130,BUENOS AIRES,MALVINAS ARGENTINAS,MALVINAS ARGENTINAS
2,131,131,BUENOS AIRES,PUNTA INDIO,PUNTA INDIO
2,132,132,BUENOS AIRES,EZEIZA,EZEIZA
2,133,133,BUENOS AIRES,ITUZAINGO,ITUZAINGO
2,134,134,BUENOS AIRES,HURLINGHAM,HURLINGHAM
2,135,135,BUENOS AIRES,LEZAMA,LEZAMA
3,1,35,CATAMARCA,SAN FERNANDO DEL VALLE DE CATAMARCA,CAPITAL
3,2,6,CATAMARCA,CAPAYAN,CAPAYAN
3,2,12,CATAMARCA,HUILLAPIMA,CAPAYAN
3,3,13,CATAMARCA,ICAñO,LA PAZ
3,3,23,CATAMARCA,RECREO,LA PAZ
3,4,2,CATAMARCA,ANCASTI,ANCASTI
3,5,8,CATAMARCA,EL ALTO,EL ALTO
3,5,31,CATAMARCA,TAPSO,EL ALTO
3,6,29,CATAMARCA,SANTA ROSA,SANTA ROSA
3,6,37,CATAMARCA,LOS ALTOS,SANTA ROSA
3,7,18,CATAMARCA,PACLIN,PACLIN
3,8,33,CATAMARCA,VALLE VIEJO,VALLE VIEJO
3,9,10,CATAMARCA,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU
3,10,14,CATAMARCA,LA PUERTA,AMBATO
3,10,15,CATAMARCA,LAS JUNTAS,AMBATO
3,10,17,CATAMARCA,LOS VARELA,AMBATO
3,10,24,CATAMARCA,EL RODEO,AMBATO
3,11,19,CATAMARCA,POMAN,POMAN
3,11,30,CATAMARCA,SAUJIL,POMAN
3,11,36,CATAMARCA,MUTQUIN,POMAN
3,12,1,CATAMARCA,ACONQUIJA,ANDALGALA
3,12,3,CATAMARCA,ANDALGALA,ANDALGALA
3,13,5,CATAMARCA,BELEN,BELEN
3,13,7,CATAMARCA,CORRAL QUEMADO,BELEN
3,13,11,CATAMARCA,HUALFIN,BELEN
3,13,16,CATAMARCA,LONDRES,BELEN
3,13,20,CATAMARCA,POZO DE LA PIEDRA,BELEN
3,13,21,CATAMARCA,PUERTA DE CORRAL QUEMADO,BELEN
3,13,22,CATAMARCA,LA PUERTA DE SAN JOSE,BELEN
3,13,25,CATAMARCA,SAN FERNANDO,BELEN
3,13,34,CATAMARCA,VILLA VIL,BELEN
